epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
38,32437.1,1.02359,0.77162,1.12484,0.75429,0.57742,0.63369,0.41795,0.90148,0.59115,1.03099,0.0092674,0.0092674,0.0092674
39,33300.6,1.01613,0.76218,1.1223,0.74531,0.59433,0.64841,0.42857,0.89583,0.582,1.0281,0.0092476,0.0092476,0.0092476
40,34151.2,1.01035,0.75774,1.1199,0.75957,0.59255,0.64853,0.42854,0.89164,0.57773,1.02523,0.0092278,0.0092278,0.0092278
41,34998.5,1.00636,0.74703,1.11517,0.74007,0.60037,0.64433,0.43033,0.88944,0.57767,1.02327,0.009208,0.009208,0.009208
42,35854.1,1.01489,0.75703,1.11994,0.74612,0.60416,0.65556,0.43832,0.88466,0.5718,1.02073,0.0091882,0.0091882,0.0091882
43,36713.6,1.00834,0.75207,1.11785,0.76589,0.60513,0.66103,0.44328,0.88022,0.56563,1.01826,0.0091684,0.0091684,0.0091684
44,37568.4,1.0061,0.74387,1.11457,0.73372,0.61952,0.65764,0.44025,0.87798,0.56427,1.01914,0.0091486,0.0091486,0.0091486
45,38446.1,1.00219,0.74638,1.11485,0.78399,0.60757,0.66921,0.44748,0.87389,0.55942,1.01577,0.0091288,0.0091288,0.0091288
46,39317.4,0.99913,0.73872,1.11113,0.78144,0.62015,0.67848,0.45321,0.8734,0.55369,1.01572,0.009109,0.009109,0.009109
47,40180.1,0.99693,0.73241,1.1097,0.77065,0.62468,0.67752,0.45265,0.86748,0.54828,1.01031,0.0090892,0.0090892,0.0090892
48,41043.3,0.99673,0.73209,1.11041,0.78421,0.61564,0.67511,0.45311,0.86644,0.54952,1.01133,0.0090694,0.0090694,0.0090694
49,41896.4,0.99456,0.72883,1.10592,0.76599,0.62562,0.67517,0.45641,0.86172,0.54542,1.00598,0.0090496,0.0090496,0.0090496
50,42759.4,0.99283,0.72173,1.10713,0.78998,0.62179,0.68639,0.46684,0.85607,0.53924,1.00538,0.0090298,0.0090298,0.0090298
51,43609,0.98884,0.72452,1.10376,0.7899,0.6315,0.68857,0.46716,0.85396,0.53444,1.00272,0.00901,0.00901,0.00901
52,44443.7,0.98698,0.71589,1.10105,0.80069,0.63054,0.69935,0.47565,0.85209,0.53212,1.00064,0.0089902,0.0089902,0.0089902
53,45286.6,0.98502,0.71773,1.10172,0.79042,0.63354,0.70091,0.47687,0.84876,0.52728,0.9987,0.0089704,0.0089704,0.0089704
54,46135.6,0.98812,0.71688,1.1036,0.77922,0.63841,0.69855,0.47781,0.84515,0.52586,0.99812,0.0089506,0.0089506,0.0089506
55,46976.6,0.9801,0.70718,1.09944,0.79365,0.64092,0.70273,0.48174,0.84206,0.52045,0.99488,0.0089308,0.0089308,0.0089308
56,47814.5,0.98408,0.70918,1.09851,0.80218,0.64216,0.70614,0.48376,0.83851,0.51636,0.99234,0.008911,0.008911,0.008911
