epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
179,152057,0.85334,0.55716,1.0219,0.8848,0.74322,0.81324,0.60781,0.70038,0.38946,0.91363,0.0064756,0.0064756,0.0064756
180,152917,0.84998,0.56038,1.02204,0.88476,0.74315,0.81357,0.60777,0.69992,0.38907,0.91338,0.0064558,0.0064558,0.0064558
181,153759,0.85475,0.55859,1.02251,0.88283,0.74408,0.814,0.60866,0.69942,0.38874,0.91312,0.006436,0.006436,0.006436
182,154609,0.85021,0.55705,1.02044,0.88415,0.74437,0.81411,0.60917,0.69898,0.38841,0.91288,0.0064162,0.0064162,0.0064162
183,155450,0.84459,0.55147,1.01909,0.88322,0.7457,0.81421,0.6094,0.6985,0.38799,0.91263,0.0063964,0.0063964,0.0063964
184,156294,0.85096,0.55762,1.0224,0.88468,0.74579,0.81486,0.60978,0.69808,0.38777,0.91238,0.0063766,0.0063766,0.0063766
185,157142,0.84252,0.55303,1.01953,0.88345,0.74638,0.81514,0.61001,0.6976,0.38751,0.91216,0.0063568,0.0063568,0.0063568
186,158001,0.84866,0.55563,1.01877,0.88589,0.74552,0.81531,0.61058,0.69715,0.38713,0.9119,0.006337,0.006337,0.006337
187,158829,0.85003,0.55437,1.01937,0.88742,0.74505,0.81566,0.61079,0.69669,0.38687,0.91163,0.0063172,0.0063172,0.0063172
188,159660,0.8435,0.55188,1.02135,0.88605,0.7466,0.81592,0.6112,0.69631,0.3866,0.9114,0.0062974,0.0062974,0.0062974
189,160493,0.84779,0.55233,1.01536,0.88643,0.74723,0.81615,0.61156,0.69586,0.38633,0.91117,0.0062776,0.0062776,0.0062776
190,161339,0.84606,0.55279,1.02011,0.88564,0.74732,0.81628,0.61181,0.69538,0.38602,0.9109,0.0062578,0.0062578,0.0062578
191,162172,0.84168,0.54824,1.01725,0.8878,0.74742,0.81675,0.61255,0.69483,0.38571,0.91062,0.006238,0.006238,0.006238
192,163011,0.84752,0.55135,1.01915,0.88827,0.74743,0.81699,0.613,0.6944,0.38537,0.91039,0.0062182,0.0062182,0.0062182
193,163857,0.84268,0.55149,1.01687,0.88999,0.74673,0.81713,0.6134,0.69395,0.38511,0.91016,0.0061984,0.0061984,0.0061984
194,164709,0.83992,0.54637,1.01747,0.89121,0.74714,0.81764,0.61371,0.69349,0.38479,0.90988,0.0061786,0.0061786,0.0061786
195,165553,0.84434,0.54856,1.01783,0.89085,0.7472,0.8179,0.61406,0.69297,0.3845,0.90962,0.0061588,0.0061588,0.0061588
196,166384,0.84236,0.54978,1.01655,0.89145,0.7476,0.81854,0.61444,0.69252,0.38425,0.90937,0.006139,0.006139,0.006139
197,167224,0.84014,0.54425,1.01406,0.88877,0.74895,0.81858,0.61477,0.69206,0.38384,0.90913,0.0061192,0.0061192,0.0061192
198,168059,0.8391,0.54555,1.01543,0.88983,0.74971,0.81886,0.61519,0.69154,0.38341,0.90886,0.0060994,0.0060994,0.0060994
199,168909,0.84137,0.54889,1.017,0.89099,0.74915,0.81905,0.61539,0.691,0.38304,0.90859,0.0060796,0.0060796,0.0060796
200,169741,0.8433,0.54734,1.01777,0.88914,0.75074,0.81937,0.61586,0.69055,0.38269,0.90833,0.0060598,0.0060598,0.0060598
201,170584,0.8382,0.54126,1.01454,0.88975,0.75125,0.81973,0.61644,0.69003,0.38246,0.90807,0.00604,0.00604,0.00604
202,171411,0.83761,0.5403,1.01557,0.89101,0.75067,0.81983,0.61705,0.6895,0.382,0.90779,0.0060202,0.0060202,0.0060202
203,172250,0.83556,0.54067,1.01694,0.8931,0.75056,0.82046,0.61767,0.68901,0.38173,0.90756,0.0060004,0.0060004,0.0060004
204,173095,0.83364,0.53972,1.01419,0.89154,0.75124,0.82072,0.6178,0.68842,0.38137,0.90726,0.0059806,0.0059806,0.0059806
205,173932,0.83049,0.54006,1.01116,0.8927,0.75161,0.82103,0.61889,0.68793,0.38103,0.90699,0.0059608,0.0059608,0.0059608
206,174787,0.83694,0.54128,1.01174,0.89256,0.75185,0.82156,0.61897,0.68748,0.38061,0.90674,0.005941,0.005941,0.005941
207,175641,0.83572,0.5427,1.01212,0.89307,0.75169,0.82167,0.61962,0.68692,0.38034,0.90646,0.0059212,0.0059212,0.0059212
208,176493,0.8342,0.53891,1.01076,0.89437,0.75172,0.8218,0.61988,0.6864,0.37994,0.90618,0.0059014,0.0059014,0.0059014
209,177333,0.83733,0.54118,1.01467,0.89588,0.75222,0.82211,0.62035,0.68585,0.37957,0.90591,0.0058816,0.0058816,0.0058816
210,178200,0.83137,0.5385,1.01186,0.89657,0.75226,0.82232,0.62061,0.6853,0.37929,0.90565,0.0058618,0.0058618,0.0058618
211,179065,0.8295,0.5374,1.00934,0.89777,0.75266,0.82252,0.62098,0.6848,0.37895,0.90534,0.005842,0.005842,0.005842
212,179918,0.82972,0.53841,1.01065,0.89663,0.75339,0.82286,0.6212,0.68424,0.37859,0.90503,0.0058222,0.0058222,0.0058222
213,180760,0.83027,0.53794,1.01118,0.89657,0.75351,0.82327,0.62168,0.68373,0.37834,0.90473,0.0058024,0.0058024,0.0058024
214,181619,0.82861,0.5365,1.01112,0.89776,0.75347,0.82344,0.62187,0.68327,0.37797,0.90443,0.0057826,0.0057826,0.0057826
215,182458,0.82787,0.53336,1.01146,0.89799,0.75341,0.82373,0.6223,0.68266,0.37754,0.90415,0.0057628,0.0057628,0.0057628
216,183304,0.83013,0.53527,1.01091,0.89685,0.75407,0.82407,0.62254,0.68212,0.37719,0.90385,0.005743,0.005743,0.005743
217,184162,0.8275,0.53494,1.00917,0.89727,0.75439,0.82427,0.62288,0.68155,0.37681,0.90355,0.0057232,0.0057232,0.0057232
218,185026,0.8257,0.53254,1.00863,0.89719,0.75455,0.82445,0.6234,0.68098,0.37651,0.90326,0.0057034,0.0057034,0.0057034
219,185882,0.82704,0.53332,1.00968,0.89643,0.75515,0.82468,0.62378,0.68044,0.37615,0.90298,0.0056836,0.0056836,0.0056836
220,186745,0.82432,0.53069,1.00742,0.89858,0.75491,0.8253,0.62416,0.67988,0.37569,0.90269,0.0056638,0.0056638,0.0056638
221,187599,0.82712,0.53221,1.00916,0.89894,0.75526,0.82552,0.62446,0.67925,0.37539,0.90239,0.005644,0.005644,0.005644
222,188456,0.82388,0.53154,1.00728,0.89748,0.75608,0.8258,0.62511,0.67869,0.37496,0.90208,0.0056242,0.0056242,0.0056242
223,189309,0.82724,0.53506,1.01011,0.89795,0.75656,0.82617,0.62558,0.67819,0.37466,0.90182,0.0056044,0.0056044,0.0056044
224,190180,0.82258,0.53099,1.00732,0.89737,0.75753,0.82643,0.62609,0.67765,0.37436,0.90154,0.0055846,0.0055846,0.0055846
225,191025,0.8251,0.53237,1.00716,0.89804,0.75781,0.82659,0.62619,0.67711,0.37402,0.90127,0.0055648,0.0055648,0.0055648
226,191882,0.81949,0.52567,1.00656,0.89983,0.75696,0.8268,0.62696,0.67653,0.37367,0.90097,0.005545,0.005545,0.005545
227,192740,0.82192,0.53006,1.00602,0.90026,0.75793,0.82706,0.62719,0.67595,0.37325,0.90068,0.0055252,0.0055252,0.0055252
228,193600,0.81634,0.52442,1.00398,0.89984,0.75877,0.82737,0.62753,0.6754,0.37289,0.90039,0.0055054,0.0055054,0.0055054
229,194458,0.81904,0.526,1.00342,0.90039,0.75892,0.82753,0.62782,0.67478,0.37249,0.90008,0.0054856,0.0054856,0.0054856
230,195311,0.81573,0.52411,1.00505,0.89911,0.7595,0.82775,0.62833,0.67422,0.37206,0.89978,0.0054658,0.0054658,0.0054658
231,196162,0.81701,0.52814,1.00594,0.89858,0.75999,0.82811,0.62894,0.6736,0.37165,0.89949,0.005446,0.005446,0.005446
232,197015,0.81568,0.52467,1.00114,0.89905,0.75965,0.8284,0.62939,0.67295,0.37125,0.89917,0.0054262,0.0054262,0.0054262
233,197870,0.81831,0.52355,1.00371,0.89964,0.75959,0.82854,0.62983,0.67239,0.37079,0.89886,0.0054064,0.0054064,0.0054064
234,198695,0.81582,0.52671,1.00379,0.89986,0.76003,0.82903,0.63033,0.67182,0.37042,0.89859,0.0053866,0.0053866,0.0053866
235,199526,0.81396,0.52474,1.00244,0.90168,0.75983,0.82929,0.6308,0.67124,0.37007,0.89828,0.0053668,0.0053668,0.0053668
236,200365,0.80965,0.51913,1.00302,0.90057,0.7609,0.82948,0.63111,0.67063,0.3697,0.89796,0.005347,0.005347,0.005347
237,201197,0.81172,0.52167,1.00012,0.8997,0.76142,0.82985,0.63144,0.66998,0.36929,0.89763,0.0053272,0.0053272,0.0053272
238,202031,0.81049,0.5195,1.00134,0.89837,0.76218,0.83007,0.63184,0.66935,0.36891,0.89729,0.0053074,0.0053074,0.0053074
239,202877,0.81053,0.51766,1.00266,0.899,0.76187,0.83023,0.63232,0.66877,0.3686,0.89698,0.0052876,0.0052876,0.0052876
240,203723,0.80925,0.52179,1.00029,0.89948,0.7618,0.83048,0.6325,0.66812,0.36826,0.89666,0.0052678,0.0052678,0.0052678
241,204574,0.80996,0.52082,1.00003,0.89922,0.76186,0.83071,0.63303,0.66751,0.36789,0.89638,0.005248,0.005248,0.005248
242,205418,0.8095,0.5186,1.00023,0.89933,0.76192,0.83098,0.63346,0.66693,0.36747,0.89604,0.0052282,0.0052282,0.0052282
243,206260,0.80746,0.51678,1.00063,0.89932,0.76274,0.83143,0.63401,0.66632,0.36709,0.89575,0.0052084,0.0052084,0.0052084
244,207101,0.80354,0.5148,0.9994,0.89851,0.76315,0.83173,0.63449,0.66571,0.36677,0.89541,0.0051886,0.0051886,0.0051886
245,207970,0.80612,0.51333,0.99921,0.89803,0.76428,0.83191,0.63489,0.66504,0.36645,0.8951,0.0051688,0.0051688,0.0051688
246,208825,0.80946,0.51846,0.99882,0.89848,0.76432,0.83215,0.63536,0.66449,0.36614,0.89482,0.005149,0.005149,0.005149
247,210018,0.8054,0.51349,0.99673,0.89897,0.76406,0.83228,0.63577,0.66385,0.3657,0.89451,0.0051292,0.0051292,0.0051292
